Week,Date,Final,OT,Score,Attendance,Diff,Total,Winner
10,"Feb 2, 2024",Halifax Thunderbirds 15 @ Philadelphia Wings 14,OT,15-14,7418,1,29,Away
10,"Feb 2, 2024",Vancouver Warriors 11 @ Georgia Swarm 12,OT,12-11,6957,1,23,Home
9,"Jan 27, 2024",Buffalo Bandits 16 @ Toronto Rock 14,,16-14,8586,2,30,Away
9,"Jan 27, 2024",Rochester Knighthawks 8 @ Halifax Thunderbirds 13,,13-8,9968,5,21,Home
9,"Jan 27, 2024",Georgia Swarm 11 @ New York Riptide 14,,14-11,4982,3,25,Home
9,"Jan 27, 2024",Panther City Lacrosse Club 21 @ Las Vegas Desert Dogs 12,,21-12,7572,9,33,Away
9,"Jan 27, 2024",San Diego Seals 12 @ Philadelphia Wings 11,,12-11,8482,1,23,Away
9,"Jan 26, 2024",Colorado Mammoth 14 @ Vancouver Warriors 8,,14-8,9844,6,22,Away
8,"Jan 20, 2024",Georgia Swarm 9 @ Toronto Rock 12,,12-9,7420,3,21,Home
8,"Jan 20, 2024",San Diego Seals 14 @ Albany FireWolves 7,,14-7,3578,7,21,Away
8,"Jan 20, 2024",Vancouver Warriors 11 @ Saskatchewan Rush 9,,11-9,8250,2,20,Away
8,"Jan 20, 2024",Calgary Roughnecks 10 @ Colorado Mammoth 13,,13-10,9856,3,23,Home
8,"Jan 19, 2024",New York Riptide 15 @ Buffalo Bandits 13,,15-13,14440,2,28,Away
7,"Jan 13, 2024",Buffalo Bandits 15 @ Rochester Knighthawks 13,,15-13,8167,2,28,Away
7,"Jan 13, 2024",Panther City Lacrosse Club 14 @ New York Riptide 12,,14-12,4928,2,26,Away
7,"Jan 13, 2024",Albany FireWolves 12 @ Georgia Swarm 8,,12-8,7154,4,20,Away
7,"Jan 13, 2024",San Diego Seals 12 @ Colorado Mammoth 8,,12-8,9652,4,20,Away
7,"Jan 13, 2024",Calgary Roughnecks 14 @ Vancouver Warriors 7,,14-7,8363,7,21,Away
7,"Jan 12, 2024",San Diego Seals 8 @ Las Vegas Desert Dogs 10,,10-8,6203,2,18,Home
7,"Jan 12, 2024",Toronto Rock 11 @ Halifax Thunderbirds 9,,11-9,8921,2,20,Away
6,"Jan 7, 2024",New York Riptide 16 @ Philadelphia Wings 9,,16-9,6926,7,25,Away
6,"Jan 6, 2024",Halifax Thunderbirds 10 @ Albany FireWolves 12,,12-10,3104,2,22,Home
6,"Jan 6, 2024",Panther City Lacrosse Club 10 @ Georgia Swarm 12,,12-10,6339,2,22,Home
6,"Jan 6, 2024",Colorado Mammoth 8 @ Buffalo Bandits 12,,12-8,15147,4,20,Home
5,"Dec 31, 2023",Albany FireWolves 11 @ Saskatchewan Rush 10,OT,11-10,9377,1,21,Away
5,"Dec 30, 2023",Las Vegas Desert Dogs 11 @ Calgary Roughnecks 17,,17-11,13405,6,28,Home
5,"Dec 30, 2023",New York Riptide 8 @ Toronto Rock 14,,14-8,9566,6,22,Home
5,"Dec 30, 2023",Vancouver Warriors 11 @ Colorado Mammoth 12,OT,12-11,9743,1,23,Home
5,"Dec 29, 2023",Philadelphia Wings 16 @ Halifax Thunderbirds 15,OT,16-15,9857,1,31,Away
5,"Dec 29, 2023",Rochester Knighthawks 14 @ San Diego Seals 17,,17-14,4300,3,31,Home
5,"Dec 29, 2023",Georgia Swarm 9 @ Buffalo Bandits 8,,9-8,16763,1,17,Away
4,"Dec 23, 2023",Vancouver Warriors 11 @ Rochester Knighthawks 13,,13-11,3845,2,24,Home
4,"Dec 22, 2023",Toronto Rock 13 @ Panther City Lacrosse Club 10,,13-10,2862,3,23,Away
4,"Dec 22, 2023",Georgia Swarm 15 @ Colorado Mammoth 8,,15-8,10373,7,23,Away
3,"Dec 16, 2023",Albany FireWolves 15 @ Philadelphia Wings 10,,15-10,7567,5,25,Away
3,"Dec 16, 2023",Halifax Thunderbirds 14 @ New York Riptide 6,,14-6,3442,8,20,Away
3,"Dec 16, 2023",Georgia Swarm 7 @ Vancouver Warriors 15,,15-7,4500,8,22,Home
3,"Dec 16, 2023",San Diego Seals 9 @ Buffalo Bandits 12,,12-9,17200,3,21,Home
3,"Dec 15, 2023",Saskatchewan Rush 17 @ Las Vegas Desert Dogs 5,,17-5,5135,12,22,Away
2,"Dec 10, 2023",Las Vegas Desert Dogs 11 @ Panther City Lacrosse Club 10,OT,11-10,3163,1,21,Away
2,"Dec 9, 2023",Calgary Roughnecks 9 @ San Diego Seals 12,,12-9,5345,3,21,Home
2,"Dec 9, 2023",Rochester Knighthawks 16 @ Saskatchewan Rush 14,,16-14,8708,2,30,Away
2,"Dec 9, 2023",Philadelphia Wings 7 @ Toronto Rock 11,,11-7,7217,4,18,Home
2,"Dec 9, 2023",Colorado Mammoth 10 @ Georgia Swarm 16,,16-10,6590,6,26,Home
2,"Dec 9, 2023",Buffalo Bandits 13 @ Albany FireWolves 17,,17-13,3406,4,30,Home
1,"Dec 2, 2023",Philadelphia Wings 13 @ New York Riptide 10,,13-10,4478,3,23,Away
1,"Dec 2, 2023",Calgary Roughnecks 13 @ Rochester Knighthawks 14,,14-13,4162,1,27,Home
1,"Dec 1, 2023",Saskatchewan Rush 12 @ Halifax Thunderbirds 17,,17-12,8537,5,29,Home
1,"Dec 1, 2023",Albany FireWolves 12 @ Las Vegas Desert Dogs 10,,12-10,6013,2,22,Away
1,"Dec 1, 2023",Panther City Lacrosse Club 11 @ Vancouver Warriors 7,,11-7,6000,4,18,Away
